factor_id,order_id,traffic_condition,weather_condition,event_type,recorded_at
36,3323,Clear,Clear,Holiday,2025-03-15 21:43:27
37,3797,Moderate,Fog,Holiday,2025-05-13 07:04:22
38,855,Moderate,Rain,Holiday,2025-04-08 16:34:16
39,9303,Moderate,Fog,Festival,2025-01-29 14:02:44
40,3101,Moderate,Clear,Holiday,2025-07-04 05:51:35
41,6028,Clear,Fog,Strike,2025-06-22 20:28:15
42,2966,Clear,Clear,,2025-06-20 17:36:21
43,5621,Clear,Clear,Festival,2025-08-13 17:33:33
44,1080,Moderate,Rain,Holiday,2025-04-16 04:53:07
45,3541,Heavy,Rain,Strike,2025-01-06 19:08:09
46,9245,Heavy,Rain,Holiday,2025-01-04 08:51:25
47,7133,Moderate,Rain,,2025-01-09 23:15:00
48,7601,Moderate,Fog,Strike,2025-02-04 23:16:04
49,9087,Moderate,Clear,Festival,2025-07-15 17:36:50
50,9888,Moderate,Fog,,2025-08-22 06:56:51
51,8967,Clear,Rain,,2025-07-26 20:35:53
52,9591,Moderate,Rain,Holiday,2025-02-17 10:05:38
53,6164,Moderate,Clear,,2025-06-21 05:42:13
54,2905,Heavy,Fog,,2025-04-26 02:41:39
55,7084,Moderate,Fog,,2025-01-09 20:58:45
56,2276,Heavy,Fog,Strike,2025-06-09 12:49:35
57,9852,Moderate,Clear,Festival,2025-03-09 03:03:29
58,5092,Moderate,Rain,Holiday,2025-06-17 03:46:19
59,6697,Moderate,Rain,Strike,2025-03-01 02:09:30
60,951,Clear,Rain,Strike,2025-02-22 16:10:32
61,99,Clear,Rain,Festival,2025-05-05 22:26:48
62,7404,Moderate,Fog,Festival,2025-03-04 19:01:29
63,9253,Heavy,Rain,Strike,2025-09-10 04:55:30
64,2627,Moderate,Fog,,2025-02-04 18:29:38
65,3937,Moderate,Fog,Strike,2025-06-22 19:57:35
66,5455,Clear,Clear,,2025-05-31 14:01:44
67,2119,Heavy,Rain,,2025-04-22 12:03:22
68,7365,Moderate,Clear,Festival,2025-01-10 13:14:46
69,1817,Clear,Rain,,2025-08-19 08:37:28
70,7639,Clear,Fog,Holiday,2025-09-07 00:42:26
71,2567,Heavy,Rain,,2025-03-11 06:49:41
72,5765,Clear,Fog,Festival,2025-01-13 01:43:58
73,4771,Moderate,Fog,Holiday,2025-04-03 13:29:22
74,1490,Moderate,Clear,Festival,2025-01-26 04:35:35
75,7998,Heavy,Rain,Festival,2025-01-19 21:45:24
76,5915,Clear,Clear,Strike,2025-05-21 08:19:17
77,2560,Heavy,Fog,Strike,2025-04-06 19:26:24
78,9601,Moderate,Clear,Strike,2025-06-20 01:03:37
79,6085,Moderate,Rain,,2025-03-10 01:00:49
80,3888,Heavy,Clear,,2025-06-10 23:51:45
81,8163,Moderate,Rain,Holiday,2025-01-16 16:59:00
82,2354,Moderate,Fog,Strike,2025-07-30 17:55:35
83,8090,Moderate,Rain,Festival,2025-06-18 07:34:10
84,1714,Clear,Clear,Strike,2025-09-07 19:29:59
85,2833,Heavy,Clear,Holiday,2025-03-09 01:33:52
86,236,Clear,Clear,Strike,2025-06-20 21:34:09
87,1374,Moderate,Rain,Holiday,2025-04-17 21:33:39
88,9065,Clear,Fog,Holiday,2025-07-06 01:00:58
89,1025,Clear,Fog,Holiday,2025-03-17 17:43:56
90,145,Heavy,Clear,Festival,2025-04-19 16:01:38
91,3900,Heavy,Rain,,2025-03-01 02:54:53
92,5667,Heavy,Clear,Festival,2025-03-20 18:18:17
93,5753,Moderate,Rain,Festival,2025-06-27 23:03:15
94,3129,Heavy,Fog,Holiday,2025-06-29 12:58:18
95,1270,Moderate,Rain,Strike,2025-06-06 22:08:36
96,2233,Heavy,Clear,Holiday,2025-03-07 18:23:08
97,352,Heavy,Clear,Strike,2025-05-21 17:14:37
98,6702,Heavy,Rain,Strike,2025-05-05 15:21:24
99,6250,Clear,Fog,Holiday,2025-02-17 06:12:45
100,7701,Clear,Rain,,2025-09-10 11:54:15
101,8341,Heavy,Clear,Strike,2025-06-01 21:23:49
102,5034,Clear,Fog,Holiday,2025-08-15 01:10:56
103,5424,Clear,Fog,Holiday,2025-04-14 03:20:55
104,6100,Moderate,Rain,Strike,2025-08-21 21:17:11
105,3338,Moderate,Fog,Festival,2025-03-08 14:13:45
106,4524,Moderate,Fog,,2025-04-06 10:08:57
107,6334,Heavy,Clear,Holiday,2025-06-29 08:58:56
108,5978,Clear,Clear,Holiday,2025-01-18 18:53:38
109,983,Clear,Clear,,2025-06-12 11:10:14
110,5659,Heavy,Rain,Strike,2025-08-18 13:11:03
111,4041,Moderate,Clear,Strike,2025-08-30 07:53:13
112,2132,Clear,Clear,,2025-02-20 14:35:11
113,8779,Clear,Fog,Holiday,2025-03-12 18:31:20
114,6498,Clear,Clear,Holiday,2025-08-12 10:57:27
115,4843,Clear,Fog,Festival,2025-05-12 20:36:50
116,4675,Heavy,Clear,Festival,2025-02-21 08:20:39
117,6513,Heavy,Fog,Festival,2025-03-19 23:22:27
118,9175,Clear,Clear,Festival,2025-07-26 05:26:44
119,5499,Moderate,Clear,,2025-08-18 05:47:20
120,9013,Moderate,Clear,Strike,2025-03-09 13:20:17
121,3230,Heavy,Clear,Strike,2025-08-05 20:11:15
122,1063,Moderate,Fog,Festival,2025-07-07 13:58:14
123,2036,Moderate,Fog,Holiday,2025-04-01 15:42:05
124,8266,Heavy,Rain,Strike,2025-04-30 19:42:17
125,4688,Heavy,Clear,Holiday,2025-02-07 23:53:03
126,7296,Heavy,Clear,Festival,2025-07-09 08:58:46
127,8654,Clear,Rain,Strike,2025-01-05 16:19:06
128,5541,Heavy,Rain,Strike,2025-02-09 23:01:40
129,1717,Heavy,Fog,Holiday,2025-08-26 10:37:02
130,8273,Clear,Fog,Strike,2025-01-29 15:42:34
131,7915,Clear,Rain,,2025-04-08 06:27:24
132,8017,Clear,Rain,Holiday,2025-07-14 05:27:28
133,5857,Moderate,Fog,Holiday,2025-08-31 04:51:32
134,1854,Heavy,Clear,,2025-04-29 20:52:19
135,6485,Moderate,Fog,Festival,2025-06-05 13:14:11
136,2490,Moderate,Rain,Holiday,2025-08-20 10:57:18
137,6930,Clear,Clear,Holiday,2025-03-07 09:34:27
138,5660,Moderate,Clear,,2025-03-23 01:47:22
139,1400,Heavy,Clear,Festival,2025-07-28 13:40:30
140,9853,Heavy,Clear,Festival,2025-04-19 04:12:31
141,218,Heavy,Rain,Holiday,2025-01-19 00:02:36
142,1076,Moderate,Fog,Holiday,2025-05-17 05:08:47
143,7916,Heavy,Fog,Festival,2025-04-19 19:54:45
144,6255,Clear,Fog,,2025-02-11 05:51:42
145,6294,Moderate,Rain,Festival,2025-03-25 21:54:10
146,1107,Clear,Clear,,2025-01-12 08:27:05
147,7108,Moderate,Fog,Strike,2025-09-09 17:33:03
148,7956,Heavy,Rain,,2025-05-18 16:27:05
149,3365,Heavy,Fog,Strike,2025-03-26 07:05:33
150,4047,Heavy,Fog,Strike,2025-08-03 17:00:27
151,6665,Clear,Rain,,2025-06-16 01:49:54
152,4206,Clear,Rain,Strike,2025-05-06 18:53:38
153,457,Moderate,Rain,,2025-06-26 21:50:49
154,3392,Heavy,Rain,Festival,2025-07-16 07:08:36
155,5251,Heavy,Rain,,2025-06-22 08:08:53
156,749,Moderate,Rain,Festival,2025-02-13 11:07:29
157,8325,Moderate,Fog,,2025-01-21 09:37:40
158,8405,Clear,Clear,Festival,2025-02-01 12:25:29
159,5318,Moderate,Rain,Festival,2025-02-17 17:00:27
160,5669,Moderate,Rain,Strike,2025-01-07 04:05:41
161,1701,Moderate,Rain,Strike,2025-05-04 13:49:22
162,6131,Clear,Fog,,2025-03-09 04:04:09
163,3253,Clear,Clear,,2025-01-20 08:24:53
164,5154,Moderate,Rain,Festival,2025-07-30 02:33:41
165,8908,Clear,Clear,Festival,2025-04-28 08:17:35
166,1409,Clear,Rain,Strike,2025-05-01 03:28:56
167,7579,Moderate,Rain,Festival,2025-02-04 22:08:15
168,8794,Heavy,Fog,Holiday,2025-06-07 02:57:52
169,8138,Clear,Rain,,2025-03-07 19:40:04
170,3839,Heavy,Fog,,2025-02-08 19:58:37
171,1921,Moderate,Fog,Holiday,2025-08-29 09:42:10
172,6059,Heavy,Rain,Strike,2025-08-03 01:42:08
173,8545,Clear,Fog,Holiday,2025-05-19 04:02:46
174,2880,Clear,Clear,Strike,2025-04-30 07:21:57
175,3772,Heavy,Clear,Festival,2025-06-08 16:31:17
176,8515,Heavy,Clear,Festival,2025-09-07 05:42:17
177,9418,Clear,Clear,,2025-06-10 20:05:31
178,1900,Heavy,Fog,Holiday,2025-05-18 12:47:57
179,262,Clear,Clear,Holiday,2025-03-06 19:05:30
180,7845,Heavy,Fog,Holiday,2025-03-13 02:33:20
181,7675,Clear,Clear,,2025-08-23 01:44:29
182,708,Heavy,Fog,Holiday,2025-04-24 06:44:38
183,3090,Heavy,Rain,Festival,2025-06-29 19:53:56
184,811,Heavy,Clear,Festival,2025-03-06 14:39:16
185,7652,Moderate,Clear,Strike,2025-01-29 15:24:52
186,5354,Heavy,Fog,Festival,2025-05-17 04:15:47
187,5217,Moderate,Clear,Holiday,2025-07-05 00:23:12
188,2770,Moderate,Rain,Festival,2025-01-26 00:21:06
189,2030,Clear,Rain,Festival,2025-03-28 16:31:36
190,205,Moderate,Rain,,2025-02-20 20:33:34
191,9409,Clear,Clear,Holiday,2025-05-05 08:41:01
192,8259,Moderate,Rain,Holiday,2025-07-28 01:42:21
193,4233,Clear,Rain,Holiday,2025-03-12 22:06:44
194,8068,Clear,Fog,Festival,2025-05-22 14:31:51
195,8451,Clear,Clear,Holiday,2025-03-12 23:26:16
196,7268,Moderate,Clear,Strike,2025-06-16 12:53:59
197,8584,Heavy,Fog,,2025-09-10 03:58:37
198,5014,Clear,Rain,Holiday,2025-08-09 12:23:14
199,7215,Clear,Fog,Strike,2025-07-12 13:09:53
200,2009,Heavy,Rain,Holiday,2025-02-03 12:44:34
201,1744,Moderate,Fog,Holiday,2025-04-15 11:32:17
202,7531,Clear,Rain,Holiday,2025-08-23 04:04:17
203,2709,Clear,Clear,Strike,2025-03-13 07:46:25
204,5177,Clear,Fog,Festival,2025-05-14 08:29:33
205,6582,Moderate,Rain,Strike,2025-06-20 06:15:33
206,9881,Heavy,Clear,Holiday,2025-07-01 21:46:44
207,8130,Moderate,Fog,Festival,2025-05-02 10:53:38
208,2859,Clear,Fog,Strike,2025-04-13 03:13:23
209,8689,Clear,Clear,,2025-07-29 12:02:20
210,4532,Heavy,Clear,Holiday,2025-06-18 10:40:52
211,4553,Clear,Clear,Holiday,2025-06-14 20:08:19
212,3716,Moderate,Rain,Holiday,2025-07-22 00:31:38
213,4736,Clear,Rain,,2025-03-15 06:34:00
214,7222,Clear,Clear,Holiday,2025-05-21 01:12:48
215,2254,Moderate,Clear,Festival,2025-04-25 04:09:54
216,6895,Clear,Fog,Strike,2025-04-30 06:18:39
217,4739,Clear,Rain,,2025-01-19 10:05:00
218,6534,Moderate,Rain,Festival,2025-03-23 21:42:27
219,9244,Clear,Fog,Strike,2025-03-08 11:53:45
220,7104,Moderate,Fog,Holiday,2025-01-20 03:54:14
221,7574,Heavy,Clear,Holiday,2025-07-14 21:27:35
222,3468,Heavy,Rain,Festival,2025-08-26 01:15:11
223,2275,Heavy,Fog,Holiday,2025-08-26 01:30:29
224,5172,Moderate,Rain,,2025-02-11 14:56:14
225,4293,Moderate,Rain,Holiday,2025-06-26 03:30:43
226,259,Clear,Fog,Strike,2025-04-21 15:04:30
227,1194,Heavy,Fog,,2025-04-27 11:06:56
228,4090,Moderate,Rain,Strike,2025-08-23 19:29:31
229,2211,Heavy,Fog,Strike,2025-08-31 03:21:08
230,4501,Moderate,Clear,Holiday,2025-06-16 02:06:52
231,3616,Heavy,Rain,,2025-03-29 06:07:12
232,2145,Moderate,Clear,Holiday,2025-04-06 14:52:33
233,170,Heavy,Fog,Strike,2025-07-14 23:05:39
234,4062,Clear,Clear,Festival,2025-03-03 02:08:33
235,6902,Moderate,Fog,Festival,2025-03-30 22:00:29
236,3205,Moderate,Rain,,2025-02-01 17:37:50
237,5992,Clear,Fog,,2025-04-11 04:53:31
238,1935,Heavy,Rain,Holiday,2025-06-26 17:32:46
239,6048,Clear,Clear,,2025-01-03 02:25:39
240,2398,Moderate,Fog,,2025-04-09 10:38:23
241,2102,Heavy,Clear,Holiday,2025-01-20 04:59:34
242,4936,Heavy,Rain,Festival,2025-01-12 06:24:24
243,1250,Heavy,Rain,Holiday,2025-07-10 07:08:18
244,1356,Heavy,Rain,Festival,2025-01-18 11:36:50
245,5387,Clear,Fog,,2025-04-03 09:32:23
246,4692,Clear,Fog,,2025-07-21 00:33:43
247,2451,Clear,Fog,Holiday,2025-04-18 09:20:14
248,1542,Heavy,Clear,Holiday,2025-01-08 23:09:15
249,3024,Moderate,Clear,,2025-02-16 19:12:38
250,5184,Clear,Rain,Strike,2025-07-02 11:05:13
251,7763,Heavy,Fog,Festival,2025-02-25 00:20:35
252,1236,Moderate,Fog,Festival,2025-08-16 13:58:52
253,8445,Moderate,Fog,Strike,2025-07-24 02:02:21
254,4441,Clear,Clear,,2025-04-30 13:54:50
255,7629,Clear,Rain,Strike,2025-03-09 07:58:42
256,2523,Moderate,Clear,Strike,2025-08-03 23:32:17
257,1565,Moderate,Fog,Festival,2025-06-13 01:06:39
258,8285,Clear,Rain,Festival,2025-09-08 23:14:40
259,7068,Clear,Fog,Holiday,2025-06-12 18:12:35
260,9755,Clear,Clear,Holiday,2025-02-19 19:28:54
261,4554,Moderate,Fog,Festival,2025-01-24 22:21:11
262,1043,Heavy,Clear,Strike,2025-03-22 17:37:04
263,2623,Moderate,Fog,Strike,2025-09-09 00:56:18
264,5658,Clear,Clear,Strike,2025-09-10 13:40:22
265,8937,Moderate,Clear,,2025-06-13 06:48:11
266,1058,Heavy,Rain,,2025-04-11 09:53:21
267,3449,Moderate,Fog,,2025-04-04 03:18:18
268,7766,Clear,Clear,,2025-03-21 19:48:04
269,4129,Moderate,Rain,Strike,2025-07-03 10:47:23
270,1638,Moderate,Clear,Festival,2025-07-08 02:57:09
271,1125,Heavy,Rain,Festival,2025-03-27 20:09:04
272,9822,Clear,Fog,,2025-06-09 17:29:21
273,98,Clear,Rain,Festival,2025-08-06 22:08:54
274,3248,Clear,Clear,Strike,2025-04-14 19:47:40
275,3150,Heavy,Fog,Holiday,2025-06-30 04:57:08
276,1281,Moderate,Rain,Holiday,2025-06-11 07:46:54
277,6500,Moderate,Rain,,2025-08-31 12:27:30
278,1834,Moderate,Fog,Holiday,2025-01-19 20:43:13
279,5140,Heavy,Rain,Strike,2025-09-08 11:24:37
280,8995,Clear,Fog,Strike,2025-08-12 18:42:54
281,1791,Heavy,Rain,Festival,2025-09-06 13:22:46
282,443,Clear,Fog,,2025-04-19 09:07:22
283,6729,Clear,Fog,Holiday,2025-02-17 04:09:30
284,7841,Clear,Fog,,2025-06-26 05:07:54
285,2246,Moderate,Clear,Festival,2025-05-31 15:05:04
286,1525,Heavy,Clear,Festival,2025-02-13 21:21:35
287,5215,Clear,Clear,,2025-08-23 16:18:54
288,9219,Clear,Fog,,2025-02-26 00:14:39
289,7525,Moderate,Fog,Holiday,2025-03-06 00:11:06
290,6825,Heavy,Fog,,2025-01-01 12:40:34
291,4720,Clear,Fog,Holiday,2025-01-04 02:37:17
292,1600,Moderate,Fog,,2025-01-20 07:12:56
293,3949,Moderate,Rain,Strike,2025-05-31 15:30:52
294,788,Heavy,Clear,Strike,2025-03-31 21:21:40
295,7914,Heavy,Fog,Holiday,2025-05-26 18:13:46
296,8219,Clear,Fog,,2025-04-08 01:32:44
297,8666,Clear,Clear,,2025-07-13 16:43:47
298,998,Moderate,Rain,Holiday,2025-06-16 14:58:09
299,8131,Moderate,Rain,,2025-05-14 04:13:03
300,889,Clear,Fog,,2025-03-31 19:10:05
301,8633,Heavy,Fog,Holiday,2025-03-29 18:21:54
302,5879,Moderate,Rain,Holiday,2025-02-06 22:30:10
303,9127,Heavy,Rain,Holiday,2025-03-25 14:57:14
304,3825,Clear,Rain,Holiday,2025-04-14 14:08:48
305,5410,Moderate,Fog,Festival,2025-06-07 01:53:00
306,3943,Clear,Fog,Festival,2025-08-08 09:38:38
307,2060,Heavy,Clear,Strike,2025-01-21 11:18:32
308,8693,Moderate,Fog,Festival,2025-07-11 23:21:25
309,5966,Moderate,Rain,,2025-04-02 11:38:49
310,9097,Moderate,Rain,Holiday,2025-07-15 17:48:25
311,3991,Moderate,Fog,Strike,2025-06-10 12:38:31
312,6769,Moderate,Rain,,2025-05-30 05:52:44
313,7248,Clear,Rain,Strike,2025-08-29 01:27:32
314,939,Heavy,Rain,Festival,2025-04-27 22:38:15
315,5636,Moderate,Clear,Holiday,2025-08-02 07:12:48
316,2762,Heavy,Fog,,2025-05-29 23:25:30
317,3542,Moderate,Clear,Holiday,2025-07-08 17:30:13
318,525,Moderate,Fog,,2025-04-10 22:22:12
319,1437,Clear,Clear,Festival,2025-01-10 18:37:57
320,8099,Moderate,Rain,Strike,2025-08-06 10:11:57
321,9572,Clear,Fog,Holiday,2025-04-11 21:28:23
322,7565,Clear,Clear,Strike,2025-07-15 00:56:57
323,28,Clear,Rain,Strike,2025-04-25 07:48:17
324,8292,Heavy,Clear,Holiday,2025-05-15 13:46:07
325,1774,Heavy,Fog,Holiday,2025-09-09 17:53:32
326,1440,Moderate,Fog,Holiday,2025-06-16 10:21:54
327,7935,Heavy,Fog,Strike,2025-07-27 17:32:48
328,7715,Moderate,Fog,,2025-05-31 13:01:20
329,7873,Heavy,Rain,Holiday,2025-08-15 05:24:56
330,1608,Moderate,Clear,Strike,2025-05-22 18:03:11
331,229,Heavy,Clear,Festival,2025-01-28 00:24:28
332,3581,Heavy,Clear,Festival,2025-08-20 10:35:38
333,7911,Moderate,Clear,Holiday,2025-04-19 05:36:41
334,8265,Clear,Fog,Strike,2025-04-19 04:04:13
335,9775,Moderate,Rain,Festival,2025-07-04 21:02:16
336,7684,Heavy,Clear,Holiday,2025-05-22 02:51:44
337,7542,Clear,Rain,Festival,2025-08-03 19:47:49
338,1188,Clear,Fog,Strike,2025-03-11 07:03:14
339,5380,Moderate,Clear,Holiday,2025-01-09 02:04:30
340,5482,Heavy,Clear,Strike,2025-09-01 23:37:57
341,9130,Clear,Rain,Holiday,2025-02-26 07:30:06
342,5094,Moderate,Rain,Festival,2025-05-31 19:59:08
343,9513,Clear,Fog,,2025-01-05 09:02:51
344,8444,Heavy,Clear,Festival,2025-02-06 19:45:20
345,307,Moderate,Rain,Holiday,2025-07-09 17:38:18
346,8404,Heavy,Fog,,2025-02-17 08:10:00
347,8906,Moderate,Rain,Strike,2025-02-15 22:58:39
348,6955,Heavy,Rain,Festival,2025-03-20 22:36:42
349,6519,Clear,Rain,Holiday,2025-03-22 00:13:47
350,8857,Heavy,Rain,Festival,2025-08-30 14:12:46
351,6078,Moderate,Rain,Strike,2025-03-10 18:37:07
352,3816,Clear,Clear,Holiday,2025-08-24 12:16:32
353,3177,Clear,Rain,Festival,2025-07-13 02:18:18
354,9990,Clear,Clear,Festival,2025-03-03 02:17:41
355,1105,Moderate,Rain,Strike,2025-03-12 22:17:07
356,4628,Moderate,Rain,,2025-08-16 05:30:00
357,3822,Heavy,Clear,Strike,2025-01-30 18:04:39
358,7018,Moderate,Clear,,2025-09-08 17:06:04
359,8230,Moderate,Rain,Festival,2025-04-23 20:13:59
360,2923,Heavy,Rain,Festival,2025-03-24 11:16:31
361,8544,Clear,Fog,Festival,2025-03-13 04:12:00
362,2715,Heavy,Clear,Strike,2025-08-13 14:56:18
363,7059,Clear,Clear,Holiday,2025-07-15 02:46:57
364,8472,Heavy,Clear,,2025-08-04 10:30:53
365,3620,Clear,Rain,Festival,2025-01-22 19:39:39
366,7862,Clear,Clear,Strike,2025-04-06 05:36:06
367,4286,Heavy,Clear,Holiday,2025-08-18 06:20:43
368,4043,Clear,Clear,Strike,2025-03-13 07:41:39
369,5391,Moderate,Fog,Festival,2025-04-01 22:54:07
370,7747,Heavy,Clear,,2025-03-26 02:50:46
371,9866,Clear,Fog,Strike,2025-05-22 06:57:58
372,5658,Moderate,Fog,Strike,2025-04-26 00:06:00
373,9833,Moderate,Fog,,2025-02-24 05:22:55
374,473,Heavy,Clear,Holiday,2025-03-22 05:14:44
375,9393,Clear,Clear,Strike,2025-05-04 20:15:20
376,4659,Heavy,Clear,Festival,2025-02-24 23:43:26
377,8775,Heavy,Clear,Strike,2025-02-13 08:11:10
378,2361,Clear,Rain,Holiday,2025-04-26 06:01:15
379,5081,Heavy,Rain,,2025-08-16 23:53:52
380,2748,Clear,Rain,Festival,2025-02-05 14:21:36
381,8666,Heavy,Clear,Festival,2025-06-23 00:21:48
382,2804,Moderate,Clear,Holiday,2025-01-31 06:51:25
383,8562,Clear,Rain,Festival,2025-05-21 17:43:23
384,6103,Clear,Fog,Festival,2025-08-09 13:20:02
385,3470,Moderate,Fog,Holiday,2025-08-20 05:10:20
386,3565,Heavy,Fog,Holiday,2025-08-20 23:16:47
387,5183,Clear,Clear,,2025-05-29 20:44:15
388,502,Clear,Clear,,2025-08-28 18:43:02
389,8974,Moderate,Clear,Festival,2025-06-25 17:35:32
390,7733,Moderate,Fog,Festival,2025-08-12 15:21:09
391,2945,Moderate,Rain,,2025-01-11 12:13:25
392,8948,Heavy,Rain,Holiday,2025-01-04 02:50:47
393,5997,Heavy,Rain,,2025-04-08 23:38:55
394,4959,Heavy,Clear,Strike,2025-02-10 05:27:22
395,9727,Heavy,Rain,Festival,2025-05-13 06:06:13
396,3537,Heavy,Clear,,2025-05-31 11:01:30
397,5145,Heavy,Fog,Holiday,2025-05-08 13:11:42
398,8781,Moderate,Rain,Festival,2025-09-03 11:26:38
399,1390,Clear,Rain,Strike,2025-02-24 12:33:38
400,423,Moderate,Rain,Strike,2025-03-14 11:59:43
401,4780,Clear,Rain,Holiday,2025-07-20 15:13:33
402,8528,Moderate,Clear,Strike,2025-02-20 12:45:39
403,7176,Clear,Fog,Festival,2025-03-08 00:45:28
404,4891,Clear,Rain,Festival,2025-08-19 05:00:25
405,3232,Clear,Clear,Festival,2025-01-29 19:46:01
406,1838,Clear,Rain,,2025-06-11 13:49:41
407,5893,Heavy,Clear,Holiday,2025-08-25 17:11:35
408,3635,Heavy,Clear,,2025-02-27 14:23:33
409,5959,Moderate,Fog,Strike,2025-06-14 15:49:40
410,9476,Heavy,Fog,Festival,2025-09-10 14:58:27
411,9369,Heavy,Rain,Festival,2025-08-27 06:27:31
412,4142,Clear,Clear,Festival,2025-05-16 05:49:34
413,8375,Heavy,Clear,Holiday,2025-03-11 10:36:33
414,7892,Heavy,Rain,Holiday,2025-07-08 07:51:47
415,2616,Clear,Fog,Holiday,2025-07-25 14:38:35
416,8485,Clear,Fog,Holiday,2025-02-18 17:41:42
417,9728,Moderate,Fog,Festival,2025-05-31 21:11:59
418,2735,Moderate,Fog,Festival,2025-03-28 09:03:23
419,6785,Heavy,Clear,Strike,2025-05-10 00:07:21
420,4402,Heavy,Clear,Festival,2025-08-22 19:53:07
421,7427,Heavy,Rain,Holiday,2025-05-29 16:50:15
422,6172,Heavy,Rain,Festival,2025-01-17 13:13:46
423,464,Clear,Clear,Holiday,2025-01-02 13:36:36
424,7417,Clear,Fog,Festival,2025-03-23 00:18:13
425,8416,Clear,Rain,,2025-09-06 10:03:58
426,9656,Heavy,Fog,Strike,2025-02-03 20:08:48
427,3061,Clear,Rain,Holiday,2025-09-01 18:05:34
428,866,Heavy,Rain,,2025-05-26 08:46:06
429,9024,Moderate,Clear,Strike,2025-07-28 17:14:03
430,6598,Heavy,Clear,Holiday,2025-07-02 07:03:34
431,2150,Heavy,Rain,,2025-03-29 02:18:06
432,2043,Moderate,Rain,,2025-01-22 16:22:50
433,2307,Heavy,Clear,Festival,2025-03-02 10:49:42
434,125,Clear,Fog,,2025-08-14 09:28:49
435,9271,Heavy,Fog,Holiday,2025-06-19 03:24:30
436,4130,Moderate,Rain,Festival,2025-05-13 17:45:03
437,1348,Moderate,Rain,Festival,2025-08-23 05:18:13
438,4431,Clear,Clear,Strike,2025-06-29 11:23:27
439,4345,Heavy,Clear,Festival,2025-08-24 03:52:18
440,2381,Clear,Rain,Holiday,2025-01-11 07:56:47
441,6357,Heavy,Clear,Festival,2025-08-02 12:50:39
442,7410,Moderate,Fog,,2025-09-04 17:28:22
443,9857,Heavy,Fog,Holiday,2025-02-23 21:40:53
444,5390,Heavy,Rain,Festival,2025-04-08 11:36:41
445,9240,Heavy,Fog,Holiday,2025-03-05 11:04:21
446,5173,Moderate,Fog,Strike,2025-04-20 18:43:59
447,9214,Clear,Clear,Strike,2025-01-31 02:10:59
448,6567,Heavy,Clear,Strike,2025-08-06 23:59:03
449,5842,Heavy,Rain,Festival,2025-04-29 15:18:20
450,15,Clear,Clear,Festival,2025-06-27 07:46:08
451,4922,Heavy,Clear,,2025-06-15 13:34:03
452,8055,Moderate,Rain,Festival,2025-03-18 16:35:13
453,7418,Heavy,Clear,Holiday,2025-06-26 17:39:15
454,5697,Clear,Clear,,2025-01-09 01:21:52
455,6042,Heavy,Fog,Festival,2025-07-20 23:59:16
456,4986,Clear,Rain,Strike,2025-01-16 08:58:29
457,8802,Moderate,Clear,Festival,2025-08-08 10:19:35
458,7952,Clear,Fog,,2025-06-23 14:12:38
459,7843,Heavy,Clear,,2025-08-14 19:15:25
460,1245,Heavy,Fog,Holiday,2025-08-25 04:11:43
461,6935,Moderate,Rain,,2025-07-13 15:53:49
462,6910,Clear,Clear,,2025-04-13 23:11:58
